mrt_stn,taxi_st_id
EW31,kml_328
EW32,kml_324
EW32,kml_327
EW33,kml_326
EW33,kml_343
NE1,kml_93
CC29,kml_93
NE5,kml_167
NE6,kml_45
NS24,kml_45
CC1,kml_45
NE7,kml_130
DT12,kml_130
NE7,kml_329
DT12,kml_329
NE8,kml_95
NE8,kml_96
NE9,kml_267
NE10,kml_104
NE11,kml_283
NE12,kml_19
CC13,kml_19
NE12,kml_304
CC13,kml_304
NE13,kml_82
NE13,kml_235
NE14,kml_155
NE15,kml_9
NE15,kml_305
NE16,kml_97
NE16,kml_156
NE16,kml_289
NE17,kml_59
NE17,kml_99
NS3,kml_92
NS5,kml_107
NS7,kml_159
NS8,kml_302
NS9,kml_43
TE2,kml_43
NS9,kml_246
TE2,kml_246
NS1,kml_44
EW24,kml_44
NS10,kml_234
NS11,kml_259
NS13,kml_247
NS14,kml_11
NS15,kml_257
NS16,kml_258
NS17,kml_261
CC15,kml_261
NS17,kml_262
CC15,kml_262
NS18,kml_264
NS19,kml_285
NS20,kml_17
NS21,kml_269
DT11,kml_269
NS21,kml_347
DT11,kml_347
NS22,kml_69
NS23,kml_315
NS25,kml_178
EW13,kml_178
NS27,kml_194
CE2,kml_194
NS28,kml_297
,kml_1
,kml_2
,kml_3
,kml_4
,kml_5
,kml_6
,kml_8
,kml_10
,kml_12
,kml_13
,kml_14
,kml_15
,kml_16
,kml_18
,kml_20
,kml_22
,kml_23
,kml_24
,kml_25
,kml_26
,kml_27
,kml_28
,kml_29
,kml_30
,kml_31
,kml_33
,kml_34
,kml_35
,kml_36
,kml_37
,kml_38
,kml_39
,kml_40
,kml_42
,kml_46
,kml_47
,kml_48
,kml_49
,kml_50
,kml_51
,kml_52
,kml_53
,kml_56
,kml_57
,kml_60
,kml_61
,kml_62
,kml_63
,kml_64
,kml_65
,kml_66
,kml_67
,kml_68
,kml_70
,kml_75
,kml_76
,kml_84
,kml_89
,kml_94
,kml_98
,kml_100
,kml_101
,kml_103
,kml_108
,kml_109
,kml_110
,kml_112
,kml_114
,kml_115
,kml_116
,kml_117
,kml_120
,kml_121
,kml_122
,kml_124
,kml_125
,kml_128
,kml_131
,kml_132
,kml_134
,kml_136
,kml_137
,kml_138
,kml_139
,kml_141
,kml_143
,kml_144
,kml_145
,kml_146
,kml_147
,kml_148
,kml_150
,kml_151
,kml_152
,kml_154
,kml_157
,kml_158
,kml_160
,kml_161
,kml_162
,kml_163
,kml_164
,kml_165
,kml_166
,kml_168
,kml_169
,kml_170
,kml_171
,kml_172
,kml_173
,kml_175
,kml_176
,kml_177
,kml_179
,kml_180
,kml_183
,kml_185
,kml_186
,kml_187
,kml_188
,kml_189
,kml_190
,kml_191
,kml_192
,kml_193
,kml_195
,kml_196
,kml_197
,kml_198
,kml_199
,kml_200
,kml_202
,kml_204
,kml_205
,kml_206
,kml_207
,kml_208
,kml_210
,kml_211
,kml_212
,kml_213
,kml_214
,kml_215
,kml_216
,kml_218
,kml_219
,kml_220
,kml_221
,kml_224
,kml_238
,kml_240
,kml_241
,kml_242
,kml_243
,kml_244
,kml_245
,kml_248
,kml_249
,kml_250
,kml_251
,kml_253
,kml_254
,kml_255
,kml_263
,kml_265
,kml_266
,kml_270
,kml_271
,kml_273
,kml_275
,kml_276
,kml_277
,kml_280
,kml_281
,kml_282
,kml_284
,kml_287
,kml_290
,kml_291
,kml_293
,kml_294
,kml_295
,kml_296
,kml_298
,kml_299
,kml_301
,kml_309
,kml_310
,kml_311
,kml_312
,kml_316
,kml_318
,kml_319
,kml_331
,kml_332
,kml_333
,kml_334
,kml_335
,kml_337
,kml_338
,kml_339
,kml_341
,kml_344
,kml_345
,kml_346
,kml_348
