Name,taxi_st_type,taxi_st_lat,taxi_st_lon,taxi_pln_area,mrt_stn
kml_261,TAXI STAND,1.351498709,103.8477562,BISHAN,NS17
kml_262,TAXI STAND,1.351765338,103.8481535,BISHAN,NS17
kml_263,TAXI STAND,1.331196911,103.8497314,TOA PAYOH,
kml_264,TAXI STAND,1.341067771,103.8461003,TOA PAYOH,NS18
kml_265,TAXI STAND,1.33420058,103.8503708,TOA PAYOH,
kml_266,TAXI STAND,1.354966515,103.8310827,BISHAN,
kml_267,TAXI STAND,1.319787144,103.8619218,KALLANG,NE09
kml_268,TAXI STAND,1.306668334,103.7904977,QUEENSTOWN,CC22
kml_269,TAXI STAND,1.311923146,103.8377554,NEWTON,NS21
kml_270,TAXI STAND,1.281828262,103.8516133,DOWNTOWN CORE,
kml_271,TAXI STAND,1.281828262,103.8516133,DOWNTOWN CORE,
kml_272,TAXI STAND,1.344415766,103.7204792,JURONG WEST,EW26
kml_273,TAXI STAND,1.305146439,103.830427,ORCHARD,
kml_274,TAXI STAND,1.289049254,103.8173805,BUKIT MERAH,EW18
kml_275,TAXI STAND,1.305217004,103.8241553,ORCHARD,
kml_276,TAXI STAND,1.299919296,103.8226396,TANGLIN,
kml_277,TAXI STAND,1.28285625,103.8168784,BUKIT MERAH,
kml_278,TAXI STAND,1.295244089,103.8053631,QUEENSTOWN,EW19
kml_279,TAXI STAND,1.302117119,103.7989938,QUEENSTOWN,EW20
kml_280,TAXI STAND,1.28886465,103.8347489,BUKIT MERAH,
kml_281,TAXI STAND,1.32447984,103.9314889,BEDOK,
kml_282,TAXI STAND,1.333548423,103.740593,JURONG EAST,
kml_283,TAXI STAND,1.339024583,103.8705211,TOA PAYOH,NE11
kml_284,TAXI STAND,1.429366097,103.8367616,YISHUN,
kml_285,TAXI STAND,1.333645847,103.8470002,TOA PAYOH,NS19
kml_286,TAXI STAND,1.327583196,103.6784722,PIONEER,EW29
kml_287,TAXI STAND,1.301346803,103.8758116,KALLANG,
kml_288,TAXI STAND,1.311560702,103.7779322,QUEENSTOWN,EW22
kml_289,TAXI STAND,1.390703768,103.8952282,SENGKANG,NE16
kml_290,TAXI STOP,1.448048222,103.8191026,SEMBAWANG,
kml_291,TAXI STAND,1.314716803,103.8943086,GEYLANG,
kml_292,TAXI STAND,1.342599035,103.7325795,JURONG EAST,EW25
kml_293,TAXI STAND,1.283690916,103.7812878,QUEENSTOWN,
kml_294,TAXI STAND,1.290726155,103.8449558,SINGAPORE RIVER,
kml_295,TAXI STAND,1.3307523,103.6784501,JURONG WEST,
kml_296,TAXI STAND,1.305170065,103.9148551,MARINE PARADE,
kml_297,TAXI STAND,1.270660065,103.8621529,STRAITS VIEW,NS28
kml_298,TAXI STAND,1.354638543,103.8771242,SERANGOON,
kml_299,TAXI PICK UP,1.291143781,103.8449881,SINGAPORE RIVER,
kml_300,TAXI STAND,1.31894514,103.8930787,GEYLANG,EW08
kml_301,TAXI STAND,1.353356221,103.8706294,SERANGOON,
kml_302,TAXI STAND,1.432411386,103.7737313,WOODLANDS,NS08
kml_303,TAXI STAND,1.318256397,103.8918209,GEYLANG,CC09
kml_304,TAXI STAND,1.350660184,103.8743152,SERANGOON,NE12
kml_305,TAXI STAND,1.382494292,103.8929239,SENGKANG,NE15
kml_306,TAXI STAND,1.323638615,103.9295066,BEDOK,EW05
kml_307,TAXI STAND,1.342254245,103.8806573,SERANGOON,CC12
kml_308,TAXI STAND,1.351512153,103.864617,SERANGOON,CC14
kml_309,TAXI STOP,1.283377046,103.8529089,DOWNTOWN CORE,
kml_310,TAXI STAND,1.319160498,103.8873168,GEYLANG,
kml_311,TAXI STAND,1.31775099,103.785952,BUKIT TIMAH,
kml_312,TAXI STOP,1.298443189,103.8554618,DOWNTOWN CORE,
kml_313,TAXI STAND,1.316013,103.8831562,GEYLANG,EW09
kml_314,TAXI STAND,1.338298368,103.7066236,JURONG WEST,EW27
kml_315,TAXI STAND,1.300378066,103.839239,ORCHARD,NS23
kml_316,TAXI STAND,1.314496129,103.8371265,NEWTON,
kml_317,TAXI STAND,1.324158077,103.9293778,BEDOK,EW05
kml_318,TAXI STAND,1.331691603,103.7441867,JURONG EAST,
kml_319,TAXI STOP,1.300974793,103.8754317,KALLANG,
kml_320,TAXI STAND,1.32618484,103.8080988,BUKIT TIMAH,DT08
kml_321,TAXI STAND,1.325743706,103.8075298,BUKIT TIMAH,DT08
kml_322,TAXI STOP,1.32264354,103.8158046,TANGLIN,DT19
kml_323,TAXI STAND,1.318913717,103.660256,PIONEER,EW30
kml_324,TAXI STAND,1.329524991,103.6398248,TUAS,EW32
kml_325,TAXI STAND,1.318960323,103.659505,TUAS,EW30
kml_326,,1.341285003,103.6374296,TUAS,EW33
kml_327,TAXI STAND,1.330287705,103.6396339,TUAS,EW32
kml_328,TAXI STAND,1.320962975,103.6495442,TUAS,EW31
kml_329,TAXI STAND,1.306645334,103.8498168,ROCHOR,NE07
kml_330,TAXI STAND,1.37881739,103.7613649,BUKIT BATOK,DT01
kml_331,TAXI STOP,1.303415104,103.8531661,ROCHOR,
